"","country","region","year","co2","population","gdp","tpes"
"3677","Haiti","Non-OECD Americas",1995,0.902009,7.82,12.867,70.8908
"3678","Honduras","Non-OECD Americas",1995,3.57411,5.591,18.323,118.2347
"3679","Jamaica","Non-OECD Americas",1995,8.413861,2.49,20.986,134.0676
"3680","Nicaragua","Non-OECD Americas",1995,2.512744,4.612,13.395,94.5835
"3681","Panama","Non-OECD Americas",1995,4.090273,2.738,24.723,83.6057
"3682","Paraguay","Non-OECD Americas",1995,3.488397,4.761,30.966,164.3569
"3683","Peru","Non-OECD Americas",1995,23.301945,24.039,145.491,459.3417
"3684","Suriname","Non-OECD Americas",1995,NA,NA,NA,NA
"3685","Trinidad and Tobago","Non-OECD Americas",1995,8.161149,1.255,15.043,257.4625
"3686","Uruguay","Non-OECD Americas",1995,4.390481,3.225,36.37,107.6844
"3687","Venezuela","Non-OECD Americas",1995,106.071027,22.189,333.13,1961.1138
"3688","Other Non-OECD Americas","Non-OECD Americas",1995,13.31067,3.207,32.53,209.8306
"3689","Bahrain","Middle East",1995,13.453653,0.564,23.885,269.2519
"3690","Islamic Rep. of Iran","Middle East",1995,244.484729,60.319,646.559,4237.5109
"3691","Iraq","Middle East",1995,95.139513,20.218,129.9,1406.0937
"3692","Jordan","Middle East",1995,12.260346,4.32,30.893,180.0959
"3693","Kuwait","Middle East",1995,32.34214,1.637,127.851,619.3105
"3694","Lebanon","Middle East",1995,12.785773,3.033,37.003,184.6087
"3695","Oman","Middle East",1995,14.68705,2.192,82.739,255.4217
"3696","Qatar","Middle East",1995,16.826987,0.501,37.418,341.1807
"3697","Saudi Arabia","Middle East",1995,191.619841,18.854,652.531,3538.116
"3698","Syrian Arab Republic","Middle East",1995,31.121193,14.332,80.029,506.5202
"3699","United Arab Emirates","Middle East",1995,69.63799,2.35,244.658,1159.1039
"3700","Yemen","Middle East",1995,9.433625,15.266,51.758,143.0762
"3701","Canada","OECD Americas",1996,462.819055,29.61,945.334,9984.0339
"3702","Chile","OECD Americas",1996,42.901764,14.596,177.266,850.591
"3703","Mexico","OECD Americas",1996,304.680416,95.877,1155.041,5638.9684
"3704","United States","OECD Americas",1996,5229.780684,269.714,10689.963,88477.6634
"3705","Australia","OECD Asia Oceania",1996,295.836409,18.356,596.515,4134.9613
"3706","Israel","OECD Asia Oceania",1996,47.051349,5.689,131.539,667.5634
"3707","Japan","OECD Asia Oceania",1996,1123.129975,125.711,3941.506,21101.0841
"3708","Korea","OECD Asia Oceania",1996,381.501233,45.525,804.418,6585.0478
"3709","New Zealand","OECD Asia Oceania",1996,24.942192,3.747,92.654,645.4954
"3710","Austria","OECD Europe",1996,63.308629,7.959,266.297,1193.0969
"3711","Belgium","OECD Europe",1996,116.672972,10.155,328.612,2354.3184
"3712","Czech Republic","OECD Europe",1996,124.727127,10.315,202.324,1802.4041
"3713","Denmark","OECD Europe",1996,71.627318,5.262,196.357,918.9333
"3714","Estonia","OECD Europe",1996,16.919285,1.425,16.347,239.6381
"3715","Finland","OECD Europe",1996,62.17329,5.125,142.316,1302.3981
"3716","France","OECD Europe",1996,359.413348,59.713,1824.497,10487.1152
"3717","Germany","OECD Europe",1996,887.150463,81.466,2691.311,14564.0219
"3718","Greece","OECD Europe",1996,76.425049,10.609,226.632,979.8835
"3719","Hungary","OECD Europe",1996,57.353783,10.311,151.732,1110.7811
"3720","Iceland","OECD Europe",1996,2.225253,0.269,7.795,99.617
"3721","Ireland","OECD Europe",1996,33.983862,3.626,100.655,475.5169
"3722","Italy","OECD Europe",1996,398.038908,56.86,1849.407,6656.5993
"3723","Latvia","OECD Europe",1996,8.9009,2.457,20.28,189.2956
"3724","Luxembourg","OECD Europe",1996,8.304623,0.414,25.317,133.7332
"3725","Netherlands","OECD Europe",1996,173.106568,15.526,545.085,3249.6647
"3726","Norway","OECD Europe",1996,32.35623,4.381,213.513,954.252
"3727","Poland","OECD Europe",1996,349.176721,38.289,448.067,4334.0604
"3728","Portugal","OECD Europe",1996,45.344397,10.064,227.76,837.1394
"3729","Slovak Republic","OECD Europe",1996,41.078377,5.374,75.021,756.8636
"3730","Slovenia","OECD Europe",1996,14.860104,1.99,36.793,264.7836
"3731","Spain","OECD Europe",1996,217.943207,39.884,1005.338,4157.4682
"3732","Sweden","OECD Europe",1996,62.404099,8.841,270.211,2156.1886
"3733","Switzerland","OECD Europe",1996,42.202843,7.131,309.587,1028.3616
"3734","Turkey","OECD Europe",1996,168.501993,60.671,746.226,2801.863
"3735","United Kingdom","OECD Europe",1996,533.679785,58.164,1680.972,9448.6638
"3736","Albania","Non-OECD Europe and Eurasia",1996,1.863033,3.168,13.458,59.4023
"3737","Armenia","Non-OECD Europe and Eurasia",1996,2.402797,3.173,7.253,74.569
"3738","Azerbaijan","Non-OECD Europe and Eurasia",1996,27.063547,7.763,25.321,491.976
"3739","Belarus","Non-OECD Europe and Eurasia",1996,57.812039,10.16,54.165,1064.021
"3740","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1996,4.129998,3.811,12.58,73.0694
"3741","Bulgaria","Non-OECD Europe and Eurasia",1996,53.176833,8.363,71.197,961.3686
"3742","Croatia","Non-OECD Europe and Eurasia",1996,14.653123,4.494,58.882,337.862
"3743","Cyprus","Non-OECD Europe and Eurasia",1996,5.346563,0.656,17.463,78.8983
"3744","FYR of Macedonia","Non-OECD Europe and Eurasia",1996,9.873,1.958,15.707,123.6987
"3745","Georgia","Non-OECD Europe and Eurasia",1996,6.327736,4.616,11.851,156.8453
"3746","Gibraltar","Non-OECD Europe and Eurasia",1996,0.28695,0.029,0.648,4.4734
"3747","Kazakhstan","Non-OECD Europe and Eurasia",1996,148.262307,15.578,134.434,1898.8232
"3748","Kosovo","Non-OECD Europe and Eurasia",1996,NA,NA,NA,NA
"3749","Kyrgyzstan","Non-OECD Europe and Eurasia",1996,5.52773,4.628,8.117,115.4383
"3750","Lithuania","Non-OECD Europe and Eurasia",1996,13.910566,3.602,34.037,393.5743
"3751","Malta","Non-OECD Europe and Eurasia",1996,2.323458,0.38,7.305,29.2138
"3752","Republic of Moldova","Non-OECD Europe and Eurasia",1996,10.207099,3.668,8.862,169.7726
"3753","Montenegro","Non-OECD Europe and Eurasia",1996,NA,NA,NA,NA
"3754","Romania","Non-OECD Europe and Eurasia",1996,120.889502,22.619,231.219,1997.9808
"3755","Russian Federation","Non-OECD Europe and Eurasia",1996,1521.382233,148.16,1625.76,26379.6655
"3756","Serbia","Non-OECD Europe and Eurasia",1996,51.719869,10.288,53.762,693.9518
"3757","Tajikistan","Non-OECD Europe and Eurasia",1996,2.21508,5.862,5.975,89.9427
"3758","Turkmenistan","Non-OECD Europe and Eurasia",1996,29.498909,4.268,20.239,500.7952
"3759","Ukraine","Non-OECD Europe and Eurasia",1996,343.828069,51.057,230.414,6278.8936
"3760","Uzbekistan","Non-OECD Europe and Eurasia",1996,95.623949,23.225,50.248,1850.6634
"3761","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1996,NA,NA,NA,NA
"3762","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1996,NA,NA,NA,NA
"3763","Algeria","Africa",1996,54.877497,29.412,274.006,982.8333
"3764","Angola","Africa",1996,4.190014,13.425,46.119,273.7632
"3765","Benin","Africa",1996,0.906948,6.176,9.145,90.0492
"3766","Botswana","Africa",1996,2.915625,1.612,14.486,59.1197
"3767","Cameroon","Africa",1996,2.442487,14.317,31.325,237.5709
"3768","Congo","Africa",1996,0.422753,2.796,13.106,31.7448
"3769","Côte d'Ivoire","Africa",1996,3.873672,14.852,44.484,242.382
"3770","Dem. Rep. of Congo","Africa",1996,1.151841,43.425,29.5,555.6711
"3771","Egypt","Africa",1996,86.160475,63.596,412.337,1561.0272
"3772","Eritrea","Africa",1996,0.850982,3.203,5.247,43.8476
"3773","Ethiopia","Africa",1996,2.588826,59.076,36.288,1180.6617
"3774","Gabon","Africa",1996,1.414572,1.115,21.94,58.4716
"3775","Ghana","Africa",1996,3.509966,17.169,35.491,280.2983
"3776","Kenya","Africa",1996,6.227072,28.116,61.51,527.7404
"3777","Libya","Africa",1996,34.670772,4.97,111.532,622.026
"3778","Mauritius","Africa",1996,1.613567,1.134,10.052,33.3408
"3779","Morocco","Africa",1996,25.699115,27.557,117.814,410.8891
"3780","Mozambique","Africa",1996,1.088013,16.411,7.314,268.0203
"3781","Namibia","Africa",1996,1.92316,1.705,9.866,42.2407
"3782","Niger","Africa",1996,NA,NA,NA,NA
"3783","Nigeria","Africa",1996,36.40993,111.165,305.564,3216.4708
"3784","Senegal","Africa",1996,2.596326,8.939,15.508,79.9623
"3785","South Africa","Africa",1996,269.57769,42.21,388.963,4430.0376
"3786","South Sudan","Africa",1996,NA,NA,NA,NA
"3787","Sudan","Africa",1996,4.102696,31.051,60.151,513.7687
"3788","United Rep. of Tanzania","Africa",1996,2.77412,30.734,40.811,467.1775
"3789","Togo","Africa",1996,0.944775,4.393,5.473,73.5275
"3790","Tunisia","Africa",1996,14.766389,9.256,58.943,254.0162
"3791","Zambia","Africa",1996,1.619897,9.502,19.288,241.9291
"3792","Zimbabwe","Africa",1996,14.452915,11.878,30.401,410.2961
"3793","Other Africa","Africa",1996,14.723959,129.01,144.682,1965.0388
"3794","Bangladesh","Asia",1996,16.666314,120.987,174.768,669.6508
"3795","Brunei Darussalam","Asia",1996,4.711502,0.302,23.314,94.7031
"3796","Cambodia","Asia",1996,1.529308,11.022,12.135,124.2175
"3797","DPR of Korea","Asia",1996,67.119688,22.017,121.182,809.341
"3798","India","Asia",1996,740.556742,979.29,2084.016,16016.9834
"3799","Indonesia","Asia",1996,214.541881,199.927,1251.03,5677.1571
"3800","Malaysia","Asia",1996,90.890714,21.261,322.53,1601.5862
"3801","Mongolia","Asia",1996,8.665149,2.317,9.769,95.0327
"3802","Myanmar","Asia",1996,7.102965,45.291,57.454,495.3547
"3803","Nepal","Asia",1996,1.833324,21.903,29.846,287.7624
"3804","Pakistan","Asia",1996,82.19227,125.698,423.676,2343.0367
"3805","Philippines","Asia",1996,62.13664,71.437,286.771,1455.7916
"3806","Singapore","Asia",1996,38.510595,3.671,166.58,823.6611
"3807","Sri Lanka","Asia",1996,7.976701,18.21,82.8,281.3579
"3808","Chinese Taipei","Asia",1996,162.326338,21.32,460.731,2798.3849
"3809","Thailand","Asia",1996,157.125306,59.879,577.734,2898.9978
"3810","Viet Nam","Asia",1996,30.892104,73.157,157.476,967.6614
"3811","Other Asia","Asia",1996,9.913452,31.434,74.371,321.233
"3812","People's Rep. of China","China",1996,2872.09343,1217.55,3293.714,44943.482
"3813","Hong Kong, China","China",1996,35.228301,6.436,203.482,436.896
"3814","Argentina","Non-OECD Americas",1996,124.823168,35.42,436.656,2346.2338
"3815","Bolivia","Non-OECD Americas",1996,6.466185,7.717,31.769,169.4518
"3816","Brazil","Non-OECD Americas",1996,245.949462,165.303,1799.533,7103.4545
"3817","Colombia","Non-OECD Americas",1996,54.356548,38.049,316.09,1183.6803
"3818","Costa Rica","Non-OECD Americas",1996,4.172984,3.597,30.387,99.1256
"3819","Cuba","Non-OECD Americas",1996,24.398921,10.955,106.2,496.5571
"3820","Curaçao","Non-OECD Americas",1996,2.659865,0.201,1.782,56.4909
"3821","Dominican Republic","Non-OECD Americas",1996,12.020741,8.029,51.658,229.1514
"3822","Ecuador","Non-OECD Americas",1996,19.204245,11.683,88.104,347.0804
"3823","El Salvador","Non-OECD Americas",1996,3.982207,5.643,32.01,134.3981
"3824","Guatemala","Non-OECD Americas",1996,5.717179,10.612,58.778,228.9563
"3825","Haiti","Non-OECD Americas",1996,1.057842,7.966,13.4,81.3744
"3826","Honduras","Non-OECD Americas",1996,3.519616,5.725,18.982,118.7116
"3827","Jamaica","Non-OECD Americas",1996,8.770039,2.512,20.962,141.2932
"3828","Nicaragua","Non-OECD Americas",1996,2.661363,4.701,14.245,96.3229
"3829","Panama","Non-OECD Americas",1996,4.127854,2.795,25.732,89.3662
"3830","Paraguay","Non-OECD Americas",1996,3.447145,4.871,31.454,168.1907
"3831","Peru","Non-OECD Americas",1996,25.670575,24.441,149.564,473.0968
"3832","Suriname","Non-OECD Americas",1996,NA,NA,NA,NA
"3833","Trinidad and Tobago","Non-OECD Americas",1996,8.49492,1.258,16.102,304.4815
"3834","Uruguay","Non-OECD Americas",1996,5.131341,3.248,38.399,118.7051
"3835","Venezuela","Non-OECD Americas",1996,114.061787,22.649,332.471,2090.2969
"3836","Other Non-OECD Americas","Non-OECD Americas",1996,13.38019,3.249,33.871,212.608
"3837","Bahrain","Middle East",1996,14.089076,0.58,24.866,269.0055
"3838","Islamic Rep. of Iran","Middle East",1996,251.169851,61.307,687.619,4087.4172
"3839","Iraq","Middle East",1996,97.464102,20.855,144.216,1407.7883
"3840","Jordan","Middle East",1996,12.638029,4.448,31.538,184.7802
"3841","Kuwait","Middle East",1996,31.435049,1.638,128.624,609.0618
"3842","Lebanon","Middle East",1996,13.293813,3.071,38.904,194.6718
"3843","Oman","Middle East",1996,14.928695,2.22,85.259,262.567
"3844","Qatar","Middle East",1996,17.627781,0.512,39.055,362.0234
"3845","Saudi Arabia","Middle East",1996,203.491586,19.331,674.612,3787.3151
"3846","Syrian Arab Republic","Middle East",1996,34.232642,14.736,82.403,534.792
"3847","United Arab Emirates","Middle East",1996,72.70689,2.468,258.844,1223.796
"3848","Yemen","Middle East",1996,9.667201,15.835,54.157,146.0843
"3849","Canada","OECD Americas",1997,478.444909,29.906,985.793,10087.2406
"3850","Chile","OECD Americas",1997,49.41664,14.796,189.909,952.456
"3851","Mexico","OECD Americas",1997,322.91357,97.205,1233.26,5933.8456
"3852","United States","OECD Americas",1997,5396.535323,272.958,11169.625,89367.976
"3853","Australia","OECD Asia Oceania",1997,303.137057,18.54,623.001,4240.4154
"3854","Israel","OECD Asia Oceania",1997,49.238535,5.835,136.861,703.9796
"3855","Japan","OECD Asia Oceania",1997,1117.586116,126.011,4004.398,21325.5439
"3856","Korea","OECD Asia Oceania",1997,402.131487,45.954,852.057,7169.0697
"3857","New Zealand","OECD Asia Oceania",1997,27.178226,3.792,95.428,674.33
"3858","Austria","OECD Europe",1997,62.513057,7.968,272.169,1184.4359
"3859","Belgium","OECD Europe",1997,113.525188,10.18,340.804,2354.4759
"3860","Czech Republic","OECD Europe",1997,122.811415,10.304,200.96,1816.26
"3861","Denmark","OECD Europe",1997,61.8767,5.285,202.76,851.4892
"3862","Estonia","OECD Europe",1997,16.502619,1.406,18.276,235.0225
"3863","Finland","OECD Europe",1997,60.153914,5.14,151.213,1350.7662
"3864","France","OECD Europe",1997,350.917138,59.926,1867.142,10166.0371
"3865","Germany","OECD Europe",1997,855.00225,81.51,2741.079,14436.9848
"3866","Greece","OECD Europe",1997,77.399077,10.661,236.794,1018.6674
"3867","Hungary","OECD Europe",1997,55.827841,10.29,156.748,1088.8679
"3868","Iceland","OECD Europe",1997,2.107852,0.271,8.178,97.4432
"3869","Ireland","OECD Europe",1997,34.990737,3.661,111.473,500.7939
"3870","Italy","OECD Europe",1997,401.162359,56.89,1883.35,6751.225
"3871","Latvia","OECD Europe",1997,8.41847,2.433,22.1,185.5204
"3872","Luxembourg","OECD Europe",1997,7.796971,0.42,26.763,130.1283
"3873","Netherlands","OECD Europe",1997,165.771339,15.608,568.523,3160.0526
"3874","Norway","OECD Europe",1997,34.107711,4.405,224.796,1009.8171
"3875","Poland","OECD Europe",1997,337.960842,38.292,477.01,4277.0601
"3876","Portugal","OECD Europe",1997,47.359792,10.109,237.841,881.7992
"3877","Slovak Republic","OECD Europe",1997,41.059773,5.383,79.573,757.7271
"3878","Slovenia","OECD Europe",1997,15.291057,1.986,38.675,275.2532
"3879","Spain","OECD Europe",1997,235.80774,40.05,1042.431,4418.63
"3880","Sweden","OECD Europe",1997,56.259117,8.846,278.049,2100.7242
"3881","Switzerland","OECD Europe",1997,41.130449,7.15,316.745,1046.4786
"3882","Turkey","OECD Europe",1997,176.616816,61.582,802.408,2947.8483
"3883","United Kingdom","OECD Europe",1997,511.766096,58.314,1733.539,9182.2088
"3884","Albania","Non-OECD Europe and Eurasia",1997,1.427356,3.148,11.999,50.6943
"3885","Armenia","Non-OECD Europe and Eurasia",1997,3.155685,3.138,7.494,77.9514
"3886","Azerbaijan","Non-OECD Europe and Eurasia",1997,26.264496,7.838,26.79,473.985
"3887","Belarus","Non-OECD Europe and Eurasia",1997,58.1909,10.117,60.34,1061.3204
"3888","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1997,8.419741,3.779,16.906,112.809
"3889","Bulgaria","Non-OECD Europe and Eurasia",1997,51.298066,8.312,70.413,871.4589
"3890","Croatia","Non-OECD Europe and Eurasia",1997,16.258507,4.572,62.795,357.3178
"3891","Cyprus","Non-OECD Europe and Eurasia",1997,5.46989,0.666,17.912,77.3087
"3892","FYR of Macedonia","Non-OECD Europe and Eurasia",1997,8.796108,1.969,15.933,112.4874
"3893","Georgia","Non-OECD Europe and Eurasia",1997,5.481184,4.532,13.097,137.6526
"3894","Gibraltar","Non-OECD Europe and Eurasia",1997,0.29631,0.029,0.689,4.6426
"3895","Kazakhstan","Non-OECD Europe and Eurasia",1997,125.62054,15.334,136.719,1653.5586
"3896","Kosovo","Non-OECD Europe and Eurasia",1997,NA,NA,NA,NA
"3897","Kyrgyzstan","Non-OECD Europe and Eurasia",1997,5.398963,4.696,8.921,108.5745
"3898","Lithuania","Non-OECD Europe and Eurasia",1997,13.553492,3.575,36.86,372.7648
"3899","Malta","Non-OECD Europe and Eurasia",1997,2.468665,0.383,7.69,32.8134
"3900","Republic of Moldova","Non-OECD Europe and Eurasia",1997,9.307881,3.654,9.008,162.0583
"3901","Montenegro","Non-OECD Europe and Eurasia",1997,NA,NA,NA,NA
"3902","Romania","Non-OECD Europe and Eurasia",1997,110.428209,22.554,220.083,1879.1315
"3903","Russian Federation","Non-OECD Europe and Eurasia",1997,1414.573224,147.915,1648.52,25203.2492
"3904","Serbia","Non-OECD Europe and Eurasia",1997,56.386406,10.292,57.625,731.4852
"3905","Tajikistan","Non-OECD Europe and Eurasia",1997,2.495104,5.937,6.076,89.6398
"3906","Turkmenistan","Non-OECD Europe and Eurasia",1997,29.751891,4.336,17.932,501.438
"3907","Ukraine","Non-OECD Europe and Eurasia",1997,325.712182,50.594,223.501,6007.8648
"3908","Uzbekistan","Non-OECD Europe and Eurasia",1997,96.925728,23.667,52.861,1882.3082
"3909","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1997,NA,NA,NA,NA
"3910","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1997,NA,NA,NA,NA
"3911","Algeria","Africa",1997,55.978872,29.888,277.02,1007.131
"3912","Angola","Africa",1997,4.331883,13.802,49.762,279.7251
"3913","Benin","Africa",1997,1.159064,6.361,9.67,93.4276
"3914","Botswana","Africa",1997,3.065701,1.646,15.649,62.0294
"3915","Cameroon","Africa",1997,2.568334,14.71,32.99,244.335
"3916","Congo","Africa",1997,0.319155,2.874,13.024,30.3774
"3917","Côte d'Ivoire","Africa",1997,4.784979,15.296,46.15,247.3179
"3918","Dem. Rep. of Congo","Africa",1997,1.151667,44.558,27.843,565.4384
"3919","Egypt","Africa",1997,93.027824,64.755,434.979,1625.7882
"3920","Eritrea","Africa",1997,0.79933,3.261,5.662,43.5709
"3921","Ethiopia","Africa",1997,2.751985,60.893,37.426,1214.4719
"3922","Gabon","Africa",1997,1.521417,1.144,23.199,59.1931
"3923","Ghana","Africa",1997,3.603552,17.569,36.981,292.9241
"3924","Kenya","Africa",1997,6.026433,28.842,61.802,534.0271
"3925","Libya","Africa",1997,34.531724,5.062,110.855,632.3015
"3926","Mauritius","Africa",1997,1.623644,1.148,10.624,34.2579
"3927","Morocco","Africa",1997,26.863655,27.934,115.975,423.5422
"3928","Mozambique","Africa",1997,1.197818,16.873,8.107,275.9934
"3929","Namibia","Africa",1997,1.973009,1.758,10.283,43.1799
"3930","Niger","Africa",1997,NA,NA,NA,NA
"3931","Nigeria","Africa",1997,41.369102,113.975,314.126,3325.4178
"3932","Senegal","Africa",1997,2.866925,9.163,15.993,84.7876
"3933","South Africa","Africa",1997,284.024201,42.922,399.076,4549.7837
"3934","South Sudan","Africa",1997,NA,NA,NA,NA
"3935","Sudan","Africa",1997,5.072476,31.956,66.507,524.8659
"3936","United Rep. of Tanzania","Africa",1997,2.634094,31.534,42.25,471.6763
"3937","Togo","Africa",1997,0.661316,4.506,6.26,72.4666
"3938","Tunisia","Africa",1997,15.421108,9.384,62.15,261.9954
"3939","Zambia","Africa",1997,2.128966,9.764,20.024,252.308
"3940","Zimbabwe","Africa",1997,13.377166,12.06,31.216,406.2143
"3941","Other Africa","Africa",1997,16.74366,132.912,152.771,2054.0657
"3942","Bangladesh","Asia",1997,18.735607,123.574,182.615,699.5497
"3943","Brunei Darussalam","Asia",1997,5.086558,0.31,22.971,97.808
"3944","Cambodia","Asia",1997,1.6401,11.339,12.817,126.2291
"3945","DPR of Korea","Asia",1997,64.68153,22.241,112.946,770.995
"3946","India","Asia",1997,780.967043,997.817,2168.415,16652.404
"3947","Indonesia","Asia",1997,236.300423,202.854,1309.827,5867.9483
"3948","Malaysia","Asia",1997,97.265872,21.808,346.149,1864.0025
"3949","Mongolia","Asia",1997,8.491372,2.336,10.149,93.0824
"3950","Myanmar","Asia",1997,7.037192,45.896,60.701,505.763
"3951","Nepal","Asia",1997,2.099565,22.395,31.353,297.0666
"3952","Pakistan","Asia",1997,85.647121,128.846,427.974,2405.3668
"3953","Philippines","Asia",1997,69.023989,73.043,301.641,1532.1008
"3954","Singapore","Asia",1997,38.155321,3.796,180.391,924.7249
"3955","Sri Lanka","Asia",1997,7.94735,18.323,88.103,291.5825
"3956","Chinese Taipei","Asia",1997,174.427098,21.477,488.896,2955.1239
"3957","Thailand","Asia",1997,160.984094,60.545,561.825,2953.021
"3958","Viet Nam","Asia",1997,36.389185,74.307,170.313,1042.7428
"3959","Other Asia","Asia",1997,10.191936,32.263,74.951,322.7877
"3960","People's Rep. of China","China",1997,2906.598678,1230.075,3597.749,44925.6571
"3961","Hong Kong, China","China",1997,32.76,6.489,213.859,420.2241
"3962","Argentina","Non-OECD Americas",1997,130.797644,35.834,472.073,2421.3572
"3963","Bolivia","Non-OECD Americas",1997,6.491736,7.871,33.343,184.809
"3964","Brazil","Non-OECD Americas",1997,262.974307,167.894,1860.628,7464.0639
"3965","Colombia","Non-OECD Americas",1997,58.921307,38.645,326.933,1148.4958
"3966","Costa Rica","Non-OECD Americas",1997,4.093653,3.683,32.078,100.3849
"3967","Cuba","Non-OECD Americas",1997,26.390536,11,109.156,510.1743
"3968","Curaçao","Non-OECD Americas",1997,5.25956,0.204,1.858,99.522
"3969","Dominican Republic","Non-OECD Americas",1997,13.712748,8.163,55.793,255.7203
"3970","Ecuador","Non-OECD Americas",1997,20.429538,11.925,91.917,360.3209
"3971","El Salvador","Non-OECD Americas",1997,4.871546,5.692,33.369,148.738
"3972","Guatemala","Non-OECD Americas",1997,6.000726,10.872,61.343,239.5731
"3973","Haiti","Non-OECD Americas",1997,1.273734,8.112,13.762,85.7444
"3974","Honduras","Non-OECD Americas",1997,3.61945,5.856,19.93,129.6744
"3975","Jamaica","Non-OECD Americas",1997,8.957025,2.535,20.723,141.2826
"3976","Nicaragua","Non-OECD Americas",1997,2.85772,4.787,14.81,100.8137
"3977","Panama","Non-OECD Americas",1997,4.336512,2.853,27.395,92.8924
"3978","Paraguay","Non-OECD Americas",1997,3.832388,4.98,32.788,182.8789
"3979","Peru","Non-OECD Americas",1997,25.403122,24.827,159.251,457.9485
"3980","Suriname","Non-OECD Americas",1997,NA,NA,NA,NA
"3981","Trinidad and Tobago","Non-OECD Americas",1997,9.109006,1.261,17.34,287.0241
"3982","Uruguay","Non-OECD Americas",1997,5.188303,3.271,41.681,120.6035
"3983","Venezuela","Non-OECD Americas",1997,118.781228,23.108,353.653,2080.9807
"3984","Other Non-OECD Americas","Non-OECD Americas",1997,13.547496,3.291,35.434,213.0883
"3985","Bahrain","Middle East",1997,14.344816,0.598,25.635,303.7673
"3986","Islamic Rep. of Iran","Middle East",1997,263.514543,62.426,696.905,4574.3936
"3987","Iraq","Middle East",1997,114.189613,21.519,174.845,1675.0641
"3988","Jordan","Middle East",1997,13.233435,4.545,32.575,188.7719
"3989","Kuwait","Middle East",1997,32.585407,1.686,131.806,615.2384
"3990","Lebanon","Middle East",1997,15.233521,3.093,38.014,219.8366
"3991","Oman","Middle East",1997,14.983462,2.228,90.403,282.3979
"3992","Qatar","Middle East",1997,19.174255,0.528,50.776,425.9871
"3993","Saudi Arabia","Middle East",1997,205.681752,19.81,692.102,3611.7063
"3994","Syrian Arab Republic","Middle East",1997,34.510163,15.152,81.504,580.6766
"3995","United Arab Emirates","Middle East",1997,76.648326,2.595,280.044,1292.7614
"3996","Yemen","Middle East",1997,10.356121,16.35,56.99,155.2257
"3997","Canada","OECD Americas",1998,484.603198,30.155,1024.059,10035.1439
"3998","Chile","OECD Americas",1998,50.075667,14.997,197.687,986.2335
"3999","Mexico","OECD Americas",1998,345.256277,98.485,1295.297,6099.3321
"4000","United States","OECD Americas",1998,5414.97822,276.154,11666.663,90128.4564
"4001","Australia","OECD Asia Oceania",1998,323.799543,18.737,654.194,4350.6885
"4002","Israel","OECD Asia Oceania",1998,49.306469,5.979,142.555,721.4138
"4003","Japan","OECD Asia Oceania",1998,1089.211135,126.349,3924.184,20931.444
"4004","Korea","OECD Asia Oceania",1998,343.524697,46.287,805.44,6545.5977
"4005","New Zealand","OECD Asia Oceania",1998,26.71503,3.822,96.438,665.1462
"4006","Austria","OECD Europe",1998,63.131234,7.977,281.858,1204.5076
"4007","Belgium","OECD Europe",1998,116.161597,10.203,347.536,2393.5554
"4008","Czech Republic","OECD Europe",1998,116.9429,10.295,200.324,1757.4947
"4009","Denmark","OECD Europe",1998,57.956827,5.303,207.258,837.6991
"4010","Estonia","OECD Europe",1998,15.923887,1.393,19.028,214.4514
"4011","Finland","OECD Europe",1998,56.797065,5.154,159.422,1363.5
"4012","France","OECD Europe",1998,372.37625,60.147,1933.541,10461.6003
"4013","Germany","OECD Europe",1998,847.009221,81.446,2795.342,14349.6401
"4014","Greece","OECD Europe",1998,80.790682,10.721,246.017,1072.6497
"4015","Hungary","OECD Europe",1998,56.141758,10.267,163.361,1075.5493
"4016","Iceland","OECD Europe",1998,2.099553,0.274,8.715,103.6848
"4017","Ireland","OECD Europe",1998,37.595422,3.714,120.645,531.2376
"4018","Italy","OECD Europe",1998,411.706466,56.907,1913.786,6940.3055
"4019","Latvia","OECD Europe",1998,8.025564,2.41,23.542,181.2395
"4020","Luxembourg","OECD Europe",1998,7.119525,0.425,28.38,125.6587
"4021","Netherlands","OECD Europe",1998,166.140877,15.703,594.251,3183.8536
"4022","Norway","OECD Europe",1998,35.746501,4.431,230.696,1054.736
"4023","Poland","OECD Europe",1998,312.153241,38.284,499.022,3981.8882
"4024","Portugal","OECD Europe",1998,52.050669,10.16,249.238,952.8741
"4025","Slovak Republic","OECD Europe",1998,39.58073,5.391,82.766,734.9605
"4026","Slovenia","OECD Europe",1998,15.050492,1.982,39.945,269.9582
"4027","Spain","OECD Europe",1998,242.358016,40.214,1087.318,4641.6873
"4028","Sweden","OECD Europe",1998,57.212598,8.851,289.801,2138.0908
"4029","Switzerland","OECD Europe",1998,42.628821,7.171,326.072,1059.1479
"4030","Turkey","OECD Europe",1998,177.243604,62.464,827.217,3003.6531
"4031","United Kingdom","OECD Europe",1998,514.399856,58.475,1788.853,9273.6425
"4032","Albania","Non-OECD Europe and Eurasia",1998,1.759359,3.129,13.08,55.8892
"4033","Armenia","Non-OECD Europe and Eurasia",1998,3.282259,3.113,8.041,79.3937
